,Movie,Description,Release Date,Director,Rating,Duration,Genre,Stars
0,Stirb langsam,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,John McTiernan,8.2,132 min,"Action, Thriller","Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson"
1,Jäger des verlorenen Schatzes,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1981,Steven Spielberg,8.4,115 min,"Action, Adventure","Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davie"
2,Indiana Jones und der Tempel des Todes,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",1984,Steven Spielberg,7.5,118 min,"Action, Adventure","Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri"
3,Indiana Jones und der letzte Kreuzzug,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",1989,Steven Spielberg,8.2,127 min,"Action, Adventure","Harrison Ford, Sean Connery, Alison Doody, Denholm Ellio"
4,Terminator : Tag der Abrechnung,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",1991,James Cameron,8.5,137 min,"Action, Sci-Fi","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
5,RoboCop,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",1987,Paul Verhoeven,7.6,102 min,"Action, Crime, Sci-Fi","Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox"
6,Predator,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,1987,John McTiernan,7.8,107 min,"Action, Adventure, Horror","Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo"
7,Mad Max  - Der Vollstrecker,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits.",1981,George Miller,7.6,96 min,"Action, Adventure, Sci-Fi","Mel Gibson, Bruce Spence, Michael Preston, Max Phipp"
8,Aliens - Die Rückkehr,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1986,James Cameron,8.3,137 min,"Action, Adventure, Sci-Fi","Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reise"
9,Gefährliche Brandung,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,1991,Kathryn Bigelow,7.3,122 min,"Action, Crime, Thriller","Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
10,Lethal Weapon - Zwei stahlharte Profis,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,1987,Richard Donner,7.6,109 min,"Action, Crime, Thriller","Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan"
11,The Rock: Fels der Entscheidung,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",1996,Michael Bay,7.4,136 min,"Action, Adventure, Thriller","Sean Connery, Nicolas Cage, Ed Harris, John Spence"
12,Speed,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,1994,Jan de Bont,7.2,116 min,"Action, Adventure, Thriller","Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
13,Rambo,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,1982,Ted Kotcheff,7.7,93 min,"Action, Adventure","Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney"
14,Das Phantom Kommando,"A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",1985,Mark L. Lester,6.7,90 min,"Action, Adventure, Thriller","Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Well"
15,Total Recall - Die totale Erinnerung,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",1990,Paul Verhoeven,7.5,113 min,"Action, Adventure, Sci-Fi","Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin"
16,Stirb langsam - Jetzt erst recht,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",1995,John McTiernan,7.6,128 min,"Action, Adventure, Thriller","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
